,Title,X Specter,Y Specter,X TFIDF,Y TFIDF
0,Quick2Insight: A user-friendly framework for interactive rendering of biological image volumes,3.738232851,6.5085945129,10.2209148407,4.9594488144
1,Modeling and visualization of receptor clustering on the cellular membrane,2.6266932487,4.8677835464,7.4688673019,4.9711313248
2,Parallel Contour-Buildup algorithm for the molecular surface,2.3705503941,4.4852108955,12.3332138062,3.9567530155
3,Fiber stippling: An illustrative rendering for probabilistic diffusion tractography,2.2258019447,7.1330490112,8.9897613525,2.6963737011
4,Visualization of anisotropic contact potentials within protein structures,2.516323328,4.2061061859,12.5982179642,4.0528130531
5,The Galaxy Track Browser: Transforming the genome browser from visualization tool to analysis tool,3.3271744251,4.1355080605,12.4699459076,6.9965782166
6,Visual analysis of next-generation sequencing data to detect overlapping genes in bacterial genomes,3.259717226,4.0061407089,12.0295410156,6.8893880844
7,TIALA -- Time series alignment analysis,3.8777706623,4.3482122421,9.8266983032,6.1210627556
8,iHAT: Interactive hierarchical aggregation table,3.7176332474,4.1109957695,11.952876091,6.8905706406
9,A visual analysis system for metabolomics data,3.3531723022,4.4880185127,9.4272031784,4.9002771378
10,Metrics for comparing explicit representations of interconnected biological networks,2.7032170296,5.7103919983,12.61353302,7.9500937462
11,GenAMap: Visualization strategies for structured association mapping,3.5539054871,4.1720490456,12.4685029984,7.031062603
12,HiTSEE: A visualization tool for hit selection and analysis in high-throughput screening experiments,2.6487736702,4.2692098618,7.1308202744,7.0892562866
13,RuleBender: Integrated visualization for biochemical rule-based modeling,5.6331801414,7.7509565353,9.7452793121,7.4649949074
14,MDMap: A system for data-driven layout and exploration of molecular dynamics simulations,2.4831392765,4.344742775,11.9406986237,4.1879086494
15,Evaluating the VIPER pedigree visualisation: Detecting inheritance inconsistencies in genotyped pedigrees,3.8273990154,4.0244951248,6.8880701065,6.518175602
16,Visual exploration of microbial populations,3.5144357681,4.0124320984,7.8276610374,6.1561465263
17,Visualizing virus population variability from next generation sequencing data,3.3623509407,4.0378189087,12.142947197,6.949649334
18,EVEVis: A multi-scale visualization system for dense evolutionary data,7.195230484,4.4721021652,6.0327057838,6.8484787941
19,Semantically steered visual analysis of highly detailed morphometric shape spaces,3.2993102074,6.7811250687,10.9693431854,3.8423643112
20,Interactive extraction of neural structures with user-guided morphological diffusion,2.8045392036,5.6079030037,11.0535230637,4.9082727432
21,Volume visualization in serial electron microscopy using local variance,2.7688856125,5.56569767,11.154255867,5.0874099731
22,INCIDE the brain of a bee: Visualising honeybee brain activity in real time by semantic segmentation,2.877294302,5.4117822647,11.4376401901,5.8076534271
23,Towards real-time visualization of detailed neural tissue models: View frustum culling for parallel rendering,3.3266453743,6.6060523987,11.362364769,5.1129126549
24,Heterogeneity-based guidance for exploring multiscale data in systems biology,3.6488735676,5.5053329468,12.1494989395,7.0530838966
25,MaTSE: The microarray time-series explorer,3.6236822605,4.3198218346,13.1621351242,7.1534266472
26,ADVISe: Visualizing the dynamics of enzyme annotations in UniProt/Swiss-Prot,3.4152457714,4.1236362457,7.4917478561,7.135242939
27,Gene-RiViT: A visualization tool for comparative analysis of gene neighborhoods in prokaryotes,3.2945375443,3.9523379803,12.9977636337,7.1586575508
28,mzRepeat: Visual analysis of lipids in mass spectrometry,3.1027531624,4.3822021484,8.1116342545,5.8251137733
29,Similarity analysis of cell movements in video microscopy,2.5913825035,5.2676000595,12.1434268951,5.3695073128
30,Epithelial cell reconstruction and visualization of the developing Drosophila wing imaginal disc,2.5748336315,5.2821164131,12.1347618103,5.3479933739
31,Visualizing cells and their connectivity graphs for CompuCell3D,3.421456337,4.6112914085,12.1050863266,5.3317289352
32,Uncertainty-aware visual analysis of biochemical reaction networks,3.5228552818,4.0665512085,8.7835521698,6.050330162
33,Dynamic channels in biomolecular systems: Path analysis and visualization,2.463960886,4.3297042847,12.376865387,3.8505148888
34,enRoute: Dynamic path extraction from biological pathway maps for in-depth experimental data analysis,3.4639370441,4.0554265976,13.4364919662,7.5385217667
35,Implicit surfaces for interactive graph based cavity analysis of molecular simulations,2.2988240719,4.4089179039,12.3483390808,3.9322681427
36,Challenge session speakers: Engaging today's genomics resources,3.3806865215,4.1224093437,12.5657567978,7.0321707726
37,invis: Exploring high-dimensional RNA sequences from in vitro selection,3.158847332,3.9302175045,11.7258634567,6.8613476753
38,Large-scale multiple sequence alignment visualization through gradient vector flow analysis,3.2399175167,4.0629019737,12.0306739807,6.9631943703
39,COMBat: Visualizing co-occurrence of annotation terms,3.7489922047,4.0380172729,6.9305124283,6.1592965126
40,Robust detection and visualization of cytoskeletal structures in fibrillar scaffolds from 3-dimensional confocal image,2.549050808,5.3071064949,8.9693899155,2.7994556427
41,PresentaBALL -- A powerful package for presentations and lessons in structural biology,2.4414999485,4.3679571152,12.0676174164,3.9631421566
42,"From biochemical reaction networks to 3D dynamics in the cell: The ZigCell3D modeling, simulation and visualisation framework",2.5856904984,4.6691460609,11.9801902771,4.3771471977
43,The Molecular Control Toolkit: Controlling 3D molecular graphics via gesture and voice,9.7539710999,8.6646795273,12.0134153366,3.9998705387
44,MoClo planner: Interactive visualization for Modular Cloning bio-design,3.1399550438,4.3349118233,9.1587514877,8.8107633591
45,VisNEST -- Interactive analysis of neural activity data,3.0879583359,5.5333952904,11.6307287216,4.0774502754
46,neuroMAP -- Interactive graph-visualization of the fruit fly's neural circuit,2.8280351162,5.3101963997,11.6052045822,5.374546051
47,Genome-wide detection of sRNA targets with rNAV,3.2220656872,3.9473056793,12.8329305649,4.339258194
48,Leveraging wall-sized high-resolution displays for comparative genomics analyses of copy number variation,3.2947874069,4.1103525162,8.1238117218,9.7634553909
49,Hummod browser: An exploratory visualization tool for the analysis of whole-body physiology simulation data,5.4936957359,7.5809793472,6.0448417664,9.6293563843
50,Visual cleaning of genotype data,3.8816628456,4.023961544,6.958589077,6.5752902031
51,Particle Level Set Advection for the Interactive Visualization of Unsteady 3D Flow,4.0828990936,8.7183513641,10.5808858871,2.3888700008
