,Opening,Colour,Num Games,ECO,Last Played,Perf Rating,Avg Player,Player Win %,Draw %,Opponent Win %,Moves,moves_list,move1w,move1b,move2w,move2b,move3w,move3b,move4w,move4b,White_win%,Black_win%,White_odds,White_Wins,Black_Wins
0,"Alekhine Defense, Balogh Variation",white,692,B03,2018-06-22,2247,2225,40.8,24.3,35.0,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Bc4,"['1.e4', 'Nf6', '2.e5', 'Nd5', '3.d4', 'd6', '4.Bc4']",e4,Nf6,e5,Nd5,d4,d6,Bc4,,40.8,35.0,1.1657142857142857,282.336,242.2
1,"Alekhine Defense, Brooklyn Variation",black,228,B02,2018-06-27,2145,2193,29.8,22.4,47.8,1.e4 Nf6 2.e5 Ng8,"['1.e4', 'Nf6', '2.e5', 'Ng8']",e4,Nf6,e5,Ng8,,,,,47.8,29.8,1.6040268456375837,108.984,67.944
2,"Alekhine Defense, Exchange Variation",white,6485,B03,2018-07-06,2244,2194,40.8,27.7,31.5,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.c4 Nb6 5.exd6,"['1.e4', 'Nf6', '2.e5', 'Nd5', '3.d4', 'd6', '4.c4', 'Nb6', '5.exd6']",e4,Nf6,e5,Nd5,d4,d6,c4,Nb6,40.8,31.5,1.295238095238095,2645.88,2042.775
3,"Alekhine Defense, Four Pawns Attack",white,881,B03,2018-06-20,2187,2130,39.7,23.2,37.1,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.c4 Nb6 5.f4,"['1.e4', 'Nf6', '2.e5', 'Nd5', '3.d4', 'd6', '4.c4', 'Nb6', '5.f4']",e4,Nf6,e5,Nd5,d4,d6,c4,Nb6,39.7,37.1,1.0700808625336928,349.75700000000006,326.851
4,"Alekhine Defense, Four Pawns Attack, Fianchetto Variation",black,259,B03,2018-05-20,2122,2178,37.8,21.2,40.9,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.c4 Nb6 5.f4 g6,"['1.e4', 'Nf6', '2.e5', 'Nd5', '3.d4', 'd6', '4.c4', 'Nb6', '5.f4', 'g6']",e4,Nf6,e5,Nd5,d4,d6,c4,Nb6,40.9,37.8,1.082010582010582,105.931,97.90199999999999
5,"Alekhine Defense, Four Pawns Attack, Main Line",white,1207,B03,2018-07-01,2243,2190,41.0,25.9,33.1,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.c4 Nb6 5.f4 dxe5 6.fxe5 Nc6 7.Be3,"['1.e4', 'Nf6', '2.e5', 'Nd5', '3.d4', 'd6', '4.c4', 'Nb6', '5.f4', 'dxe5', '6.fxe5', 'Nc6', '7.Be3']",e4,Nf6,e5,Nd5,d4,d6,c4,Nb6,41.0,33.1,1.2386706948640482,494.87,399.51700000000005
6,"Alekhine Defense, Four Pawns Attack, Trifunovic Variation",black,323,B03,2018-05-10,2231,2277,35.9,24.8,39.3,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.c4 Nb6 5.f4 Bf5,"['1.e4', 'Nf6', '2.e5', 'Nd5', '3.d4', 'd6', '4.c4', 'Nb6', '5.f4', 'Bf5']",e4,Nf6,e5,Nd5,d4,d6,c4,Nb6,39.3,35.9,1.0947075208913648,126.939,115.957
7,"Alekhine Defense, General",black,524,B02,2018-06-29,2032,2077,42.2,25.0,32.8,1.e4 Nf6,"['1.e4', 'Nf6']",e4,Nf6,,,,,,,32.8,42.2,0.7772511848341231,171.87199999999996,221.12800000000004
8,"Alekhine Defense, Hunt Variation, Lasker Simul Gambit",white,334,B02,2018-06-27,2205,2178,34.1,23.6,42.2,1.e4 Nf6 2.e5 Nd5 3.c4 Nb6 4.c5 Nd5 5.Nc3 e6 6.Bc4,"['1.e4', 'Nf6', '2.e5', 'Nd5', '3.c4', 'Nb6', '4.c5', 'Nd5', '5.Nc3', 'e6', '6.Bc4']",e4,Nf6,e5,Nd5,c4,Nb6,c5,Nd5,34.1,42.2,0.8080568720379147,113.89399999999999,140.948
9,"Alekhine Defense, Maroczy Variation",white,931,B02,2018-07-09,2174,2174,36.6,25.7,37.7,1.e4 Nf6 2.d3,"['1.e4', 'Nf6', '2.d3']",e4,Nf6,d3,,,,,,36.6,37.7,0.9708222811671087,340.746,350.987
10,"Alekhine Defense, Modern Variation",white,501,B04,2018-06-25,2397,2336,43.5,31.7,24.8,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Nf3,"['1.e4', 'Nf6', '2.e5', 'Nd5', '3.d4', 'd6', '4.Nf3']",e4,Nf6,e5,Nd5,d4,d6,Nf3,,43.5,24.8,1.754032258064516,217.935,124.248
11,"Alekhine Defense, Modern Variation, Alburt Variation",black,2626,B04,2018-06-30,2250,2294,28.3,30.3,41.4,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Nf3 g6,"['1.e4', 'Nf6', '2.e5', 'Nd5', '3.d4', 'd6', '4.Nf3', 'g6']",e4,Nf6,e5,Nd5,d4,d6,Nf3,g6,41.4,28.3,1.4628975265017667,1087.164,743.158
12,"Alekhine Defense, Modern Variation, Alekhine Gambit",white,120,B04,2018-06-11,2097,2081,36.7,22.5,40.8,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Nf3 Bg4 5.c4 Nb6 6.Be2,"['1.e4', 'Nf6', '2.e5', 'Nd5', '3.d4', 'd6', '4.Nf3', 'Bg4', '5.c4', 'Nb6', '6.Be2']",e4,Nf6,e5,Nd5,d4,d6,Nf3,Bg4,36.7,40.8,0.8995098039215688,44.04,48.96
